phase,variant,seeds,wer,wer_sd,bleu_1,bleu_1_sd,bleu_2,bleu_2_sd,bleu_3,bleu_3_sd,bleu_4,bleu_4_sd,rouge_l_f1,rouge_l_f1_sd,corpus_bleu,corpus_bleu_sd,chrf,chrf_sd
zuco1_test,braintranslator_bart,3,119.15572756653233,7.605004327412069,15.626303875510802,3.3482690155010495,4.7258419991009735,1.0205804842194632,1.4333301689549178,0.5367365447453673,0.42839481091733644,0.3108309311049744,13.419882167763172,2.541514829172704,0.42839481091733644,0.3108309311049744,17.091497135361237,0.9595487949223562
zuco1_test,eeg2text_feature,3,101.99763263243294,2.990064965119849,14.74798494808858,3.8469893736961924,2.606374742453197,1.3430713518190052,0.6174005117981158,0.6862675689548595,0.13831435304401415,0.12766325017634778,14.638229822418891,1.7778072990920653,0.13831435304401415,0.12766325017634778,12.164872977681764,2.103199071830744
zuco1_test,language_prior,1,99.44140765271516,0.0,14.705943769368828,0.0,4.325043703447726,0.0,1.4034266256401313,0.0,0.2853606853074361,0.0,15.603474449095946,0.0,0.2853606853074361,0.0,10.881581425692973,0.0
zuco1_test,length_only,1,100.15959781350996,0.0,18.453107234817853,0.0,5.169136151354204,0.0,1.8681354904092489,0.0,0.7471664849070051,0.0,16.530486541380583,0.0,0.7471664849070051,0.0,15.30303340725079,0.0
zuco1_test,no_cab,3,100.67696072563805,4.472784485216819,16.557185735165326,0.42755832930826865,4.084367826155695,0.3600310573287858,0.7642205112120942,0.45112071168408147,0.25653366110211634,0.20272321137406227,16.477494483827574,1.8786921126159157,0.25653366110211634,0.20272321137406227,13.011440047127161,1.64324467433475
zuco1_test,no_multiscale,3,96.07256380587586,1.8636262606623484,14.038830232592993,4.1133722515629065,3.1865187049418124,1.5129246064833777,0.8257200761780846,0.6205953415527308,0.2084925553790051,0.140240857870438,15.109908457837813,0.9153953133396535,0.2084925553790051,0.140240857870438,12.351752067706279,2.68581162678193
zuco1_test,noise_only,1,98.99453377488729,0.0,16.9049479574294,0.0,4.256358341984566,0.0,1.2864950767272916,0.0,0.3781628732006019,0.0,15.464320892877536,0.0,0.3781628732006019,0.0,13.974496451893312,0.0
zuco1_test,pegasus_xsum,3,97.94916809639707,0.21423442937651224,6.378589648185988,3.3331135102869296,1.0622787811073797,1.6904369272802695,0.10293294299076167,0.14527922525761,0.02836246330026649,0.03569386571627862,9.689947665153442,3.0426592585901755,0.02836246330026649,0.03569386571627862,11.087595451720057,0.7725625987311217
zuco1_test,spectraloom,3,97.55283352618069,1.70316149749711,17.757501742678976,0.7421858128789809,4.607262592735926,0.12676037719690486,1.2941419429671739,0.08564259690017689,0.3822931320601996,0.11121427674224278,16.796289334055277,0.9915799561058496,0.3822931320601996,0.11121427674224278,14.654854700602993,0.715773873410293
zuco1_test,static_sba,3,98.72055752836187,5.26866402401079,12.883979458305596,3.8657520104837264,2.3025450499443414,1.472706423784771,0.3612416958486585,0.34125820083389946,0.09143096675988717,0.07616696544715593,14.388590520135935,2.1293343579755493,0.09143096675988717,0.07616696544715593,10.691423715415004,2.719029775685062
zuco1_test,t5_large,3,101.20230352844166,0.7301309255893249,18.422033260899035,0.32422667814813944,4.5848860175289605,0.46318418884191664,1.932196847178252,0.32898395732216285,0.975933423076448,0.2300291152429101,16.4165371928736,0.2760036516554661,0.975933423076448,0.2300291152429101,14.575624490380003,0.4316945268677155
zuco1_test,uniform_sba,3,100.06915905252097,1.9109977768725903,14.833575141151147,2.779955660964616,3.035041110336387,0.8913732903879452,0.5210670306527869,0.38931600928233545,0.1759565496526475,0.1618493227472622,15.561427402658287,0.4229336121066496,0.1759565496526475,0.1618493227472622,11.831511694463659,2.1411328063902872
zuco2_zero_shot,braintranslator_bart,3,107.86966470919539,6.4502019181495625,18.319457471384105,2.2498546098215466,6.489930535283558,1.0485572509859455,2.7427240989348216,0.7072503677752332,1.2781638980694283,0.5668987663799365,15.460221163714506,2.3007398756978636,1.2781638980694283,0.5668987663799365,16.743072379078683,0.5454694644998771
zuco2_zero_shot,eeg2text_feature,3,94.54448422404184,1.5376346745377394,14.186938099369891,5.145634317815048,3.356182778354151,2.2199145298252954,0.846236606227294,1.1357935536844599,0.34109416272523235,0.5087720433521483,16.304057205301312,2.584735629208804,0.34109416272523235,0.5087720433521483,11.582541736410741,2.5506953611247583
zuco2_zero_shot,language_prior,1,91.36625193482448,0.0,16.175308870185802,0.0,5.4571591463525095,0.0,1.98386019404694,0.0,0.9146142601514163,0.0,19.32804144080841,0.0,0.9146142601514163,0.0,10.842112501134897,0.0
zuco2_zero_shot,length_only,1,93.63191662826557,0.0,18.638493970630535,0.0,5.584937848697388,0.0,2.2111299680007943,0.0,1.0436117560178815,0.0,18.35019263401545,0.0,1.0436117560178815,0.0,14.271205768060154,0.0
zuco2_zero_shot,no_cab,3,96.93618328547966,4.7777693753966135,15.83343731406817,1.386473564992048,3.88360791660315,0.27284691631025915,0.858981255891015,0.5371406084609545,0.30469314665506025,0.2518053509658975,16.303338987537323,1.346522992425031,0.30469314665506025,0.2518053509658975,12.382381340661194,0.5591716410222758
zuco2_zero_shot,no_multiscale,3,92.96964541018279,2.3063326117977896,12.511536873787835,4.753929188144823,3.135227753432021,2.15533000243314,1.0907503459371997,0.9465204963535805,0.4607445556786144,0.4353499971913866,15.3248145238412,2.7080897977154224,0.4607445556786144,0.4353499971913866,11.206252954069445,2.3823309563285773
zuco2_zero_shot,noise_only,1,93.0848486996798,0.0,16.63573557017631,0.0,4.840026474566008,0.0,1.867977050921303,0.0,0.8830431373291693,0.0,16.980270855192362,0.0,0.8830431373291693,0.0,13.070660243716684,0.0
zuco2_zero_shot,pegasus_xsum,3,95.75835273081029,1.0659078558113138,4.8988608549200725,3.000575382985023,0.7767847697215068,1.3008521000044575,0.1300049036275688,0.21780683374519716,0.022665680311601318,0.036663839153897225,9.395509629267973,2.9198694098951945,0.022665680311601318,0.036663839153897225,10.015394709716755,0.6426061484185884
zuco2_zero_shot,spectraloom,3,92.7000500198898,1.9193221406883194,16.329272959476537,0.6004239522440007,4.644126677275423,0.6469607806731807,1.6052297899464891,0.523675904129781,0.691370140930068,0.26771515354507613,17.645601108194175,0.7939494576334567,0.691370140930068,0.26771515354507613,13.236170525297995,0.9766736996876716
zuco2_zero_shot,static_sba,3,94.07973249205392,2.918578946424122,11.48212318854134,5.273265922232812,2.2786040001121473,2.1211943113009393,0.5303041118508559,0.8030871523872887,0.2089168265180192,0.3368315695933302,14.557438736030084,3.4727639280132507,0.2089168265180192,0.3368315695933302,9.537044434263226,2.9115748409008764
zuco2_zero_shot,t5_large,3,95.96493093710491,1.268857949385669,16.42603455827043,0.8644680732287603,3.8998518670796476,0.3960436580057422,1.5675909525931866,0.18833509476054808,0.7678298423009803,0.11170316967434787,16.07868095174026,0.25537887877140897,0.7678298423009803,0.11170316967434787,14.36097246112002,0.6676092435126507
zuco2_zero_shot,uniform_sba,3,94.04034675205496,1.8995812120589264,14.501026380600406,3.7179506948632857,3.5884400938824546,1.3956211531452667,1.0507000231052805,0.6383793882270513,0.4236637303567058,0.30959749507792245,16.928392313575472,1.8078322740168697,0.4236637303567058,0.30959749507792245,11.358705181886505,1.835478931713253
